code,description,emergency,year
T80-T88,Complications of surgical & medical care nec.,130925.0,2019-20
T90-T98,Sequelae of injuries of poisoning & other consequences,1.0,2019-20
U00-U49,Provisional assignment of new diseases of uncertain etiology,13438.0,2019-20
Z00-Z13,Examination and investigation,24133.0,2019-20
Z20-Z29,Potential health hazards related to communicable diseases,698.0,2019-20
Z30-Z39,Health services in circumstances related to reproduction,5262.0,2019-20
Z40-Z54,Persons encountering health services for specific care,9725.0,2019-20
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,693.0,2019-20
Z70-Z76,Persons encountering health services in other circs.,6713.0,2019-20
Z80-Z99,Persons with potential health hazards related to family,207.0,2019-20
‡ C51-C58,Malignant neoplasms of female genital organs,5190.0,2019-20
‡ C60-C63,Malignant neoplasms of male genital organs,5142.0,2019-20
‡ N40-N51,Diseases of male genital organs,42466.0,2019-20
‡ N70-N77,Inflammatory diseases of female pelvic organs,14430.0,2019-20
‡ N80-N98,Noninflammatory disorders of female genital tract,37285.0,2019-20
‡ O00-O08,Pregnancy with abortive outcome,47694.0,2019-20
‡ O20-O29,Other maternal disorders predominantly related to pregnancy,64743.0,2019-20
‡ O30-O48,Maternal care related to the fetus and amniotic cavity and possibl,6614.0,2019-20
‡ O60-O75,Complications of labour and delivery,3799.0,2019-20
A00-A09,Intestinal infectious diseases,67675.0,2020-21
A15-A19,Tuberculosis,1181.0,2020-21
A20-A28,Certain zoonotic bacterial diseases,103.0,2020-21
A30-A49,Other bacterial diseases,94976.0,2020-21
A50-A64,Infections with a predominantly sexual mode of transmission,569.0,2020-21
A65-A69,Other spirochaetal diseases,166.0,2020-21
A70-A74,Other diseases caused by chlamydiae,31.0,2020-21
A75-A79,Rickettsioses,5.0,2020-21
A80-A89,Viral infections of the central nervous system,1347.0,2020-21
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,9.0,2020-21
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,6018.0,2020-21
B15-B19,Viral hepatitis,1125.0,2020-21
B20-B24,Human immunodeficiency virus [HIV] disease,588.0,2020-21
B25-B34,Other viral diseases,45958.0,2020-21
B35-B49,Mycoses,2678.0,2020-21
B50-B64,Protozoal diseases,571.0,2020-21
B65-B83,Helminthiases,239.0,2020-21
B85-B89,"Pediculosis, acariasis and other infestations",192.0,2020-21
B95-B98,"Bacterial, viral and other infectious agents",5.0,2020-21
B99-B99,Other infectious and parasitic diseases,4866.0,2020-21
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,2303.0,2020-21
C15-C26,Malignant neoplasm of digestive organs,27797.0,2020-21
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,13935.0,2020-21
C40-C41,Malignant neoplasm of bone and articular cartilage,616.0,2020-21
C43-C44,Malignant neoplasms of skin,1387.0,2020-21
C45-C49,Malignant neoplasms of mesothelial and soft tissue,2353.0,2020-21
C50-C50,Malignant neoplasm of breast,3589.0,2020-21
C64-C68,Malignant neoplasms of urinary tract,5493.0,2020-21
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4390.0,2020-21
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,515.0,2020-21
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",28939.0,2020-21
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",18676.0,2020-21
