code,description,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,baseline,2018-19_pct,2019-20_pct,2020-21_pct,2021-22_pct,2022-23_pct,2023-24_pct
H65-H75,Diseases of middle ear and mastoid,,9021.0,4081.0,7432.0,9914.0,10222.0,9021.0,,0.0,-54.761112958652035,-17.614455160181798,9.899124265602483,13.313379891364594
H80-H83,Diseases of inner ear,,11117.0,10201.0,11126.0,9421.0,11948.0,11117.0,,0.0,-8.239632994512908,0.08095709274084735,-15.255914365386344,7.475038229738239
H90-H95,Other disorders of ear,,2782.0,2200.0,2999.0,3426.0,3643.0,2782.0,,0.0,-20.92020129403307,7.800143781452193,23.14881380301941,30.948957584471604
I00-I02,Acute rheumatic fever,,68.0,33.0,34.0,33.0,44.0,68.0,,0.0,-51.470588235294116,-50.0,-51.470588235294116,-35.294117647058826
I00-I09,Rheumatic heart disease,1862.0,,,,,,1862.0,0.0,,,,,
I05-I09,Chronic rheumatic heart diseases,,1929.0,1813.0,2306.0,2469.0,2650.0,1929.0,,0.0,-6.013478486262312,19.543805080352513,27.993779160186627,37.37687921202696
I10-I15,Hypertensive diseases,20578.0,23451.0,23990.0,32088.0,33700.0,42508.0,22014.5,-6.525244725067569,6.525244725067569,8.973631015921324,45.75847736718981,53.080923936496404,93.09091734992846
I20-I25,Ischaemic heart diseases,140838.0,140595.0,129085.0,137953.0,127356.0,133635.0,140716.5,0.08634381895513318,-0.08634381895513318,-8.265910536433182,-1.96387772578198,-9.494622165844092,-5.032458880088689
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,29107.0,30573.0,34607.0,36418.0,35066.0,35857.0,29840.0,-2.4564343163538873,2.4564343163538873,15.975201072386058,22.044235924932977,17.51340482573727,20.1642091152815
I30-I52,Other forms of heart disease,198163.0,208184.0,185716.0,214242.0,201873.0,218691.0,203173.5,-2.4661188590047423,2.4661188590047423,-8.59240993535082,5.447806923639155,-0.6400933192566944,7.637561000819497
I60-I69,Cerebrovascular diseases,93175.0,96937.0,94710.0,99497.0,99036.0,103811.0,95056.0,-1.978833529708803,1.978833529708803,-0.3639959602760478,4.671982831173203,4.187005554620434,9.21036020871907
I70-I79,"Diseases of arteries, arterioles & capillaries",21925.0,22817.0,21243.0,23281.0,22633.0,24263.0,22371.0,-1.9936524965356934,1.9936524965356934,-5.042242188547673,4.067766304590765,1.1711590898931652,8.45737785525904
I80-I89,Diseases of veins & lymphatic system nec.,41322.0,70009.0,64421.0,72061.0,71792.0,76981.0,55665.5,-25.767306500435637,25.767306500435637,15.728772758710512,29.453611303230904,28.97036764243562,38.29211989472833
